HOG0019654	GO:0005794,GO:0005829,GO:0006890,GO:0007018,GO:0008093,GO:0033365,GO:0034067,GO:0034452,GO:0051959,GO:0070507,GO:0070840,GO:0072393
HOG0019981	GO:0016020,GO:0016255,GO:0042765
HOG0003558	GO:0005634,GO:0016239,GO:0016684,GO:0070728,GO:0071233,GO:1901031,GO:1904262,GO:1990253
HOG0021329	GO:0000226,GO:0004674,GO:0005737,GO:0035556,GO:0050321
HOG0019236	GO:0000245,GO:0000398,GO:0000974,GO:0071007,GO:0071011,GO:0071014
HOG0019333	GO:0003677,GO:0016887,GO:0017025
HOG0018259	GO:0003723,GO:0005829,GO:0010494,GO:0045727
HOG0005735	GO:0005783,GO:0030178,GO:0040037
HOG0019714	GO:0005794,GO:0005815,GO:0005929,GO:0030992,GO:0042073,GO:1905515
HOG0020672	GO:0005856,GO:0005886,GO:0014069,GO:0051015,GO:0051016
HOG0019826	GO:0004567,GO:0006516
HOG0021045	GO:0009312
HOG0010775	GO:0000977,GO:0000981,GO:0006357,GO:0032502
HOG0005536	GO:0004865,GO:0005737,GO:0042325,GO:0045087
HOG0019416	GO:0005813,GO:0019901
HOG0018966	GO:0005201,GO:0005577,GO:0007596,GO:0030674,GO:0034116,GO:0042730,GO:0070527,GO:0072377
HOG0019940	GO:0016567,GO:0061630,GO:0072487
HOG0008017	GO:0008083
HOG0019742	GO:0005739,GO:0008700,GO:0008840,GO:0009436,GO:0016829
HOG0020590	GO:0005243,GO:0005922,GO:0007154,GO:0007267,GO:0007507,GO:0010644
HOG0006033	GO:0002020,GO:0005615,GO:0008191,GO:0009725,GO:0010033,GO:0010951,GO:0031012,GO:0034097,GO:0051045
HOG0020683	GO:0005789,GO:0006886,GO:0030968,GO:0030970,GO:0036502,GO:0036513
HOG0004738	GO:0005654,GO:0005737,GO:0008537,GO:0010950,GO:0061133,GO:0061136,GO:2000045
HOG0010208	GO:0000978,GO:0000981,GO:0006357
